zip,city,county,metro,avg_rent
94904,Kentfield,Marin County,"San Francisco-Oakland-Berkeley, CA",4498.8061934339985
94108,San Francisco,San Francisco County,"San Francisco-Oakland-Berkeley, CA",2787.4600259867498
94920,Tiburon,Marin County,"San Francisco-Oakland-Berkeley, CA",5718.37789714829
94708,Berkeley,Alameda County,"San Francisco-Oakland-Berkeley, CA",4698.295168684471
94709,Berkeley,Alameda County,"San Francisco-Oakland-Berkeley, CA",2611.634469926637
94065,Redwood City,San Mateo County,"San Francisco-Oakland-Berkeley, CA",4130.207447382273
94965,Sausalito,Marin County,"San Francisco-Oakland-Berkeley, CA",3940.2733899385426
94925,Corte Madera,Marin County,"San Francisco-Oakland-Berkeley, CA",5256.0
95033,Lexington Hills,Santa Clara County,"San Jose-Sunnyvale-Santa Clara, CA",2920.382710267077
94505,Discovery Bay,Contra Costa County,"San Francisco-Oakland-Berkeley, CA",3213.6977546354833
94158,San Francisco,San Francisco County,"San Francisco-Oakland-Berkeley, CA",4210.645646655643
94027,Atherton,San Mateo County,"San Francisco-Oakland-Berkeley, CA",25500.0
94710,Berkeley,Alameda County,"San Francisco-Oakland-Berkeley, CA",3016.6364097531255
94939,Larkspur,Marin County,"San Francisco-Oakland-Berkeley, CA",3374.337809924664
95113,San Jose,Santa Clara County,"San Jose-Sunnyvale-Santa Clara, CA",3508.881896026635
94111,San Francisco,San Francisco County,"San Francisco-Oakland-Berkeley, CA",3854.709142478938
94129,San Francisco,San Francisco County,"San Francisco-Oakland-Berkeley, CA",5359.050504146854
94525,Crockett,Contra Costa County,"San Francisco-Oakland-Berkeley, CA",2140.0
