model,train_rmse,test_rmse,train_mae,test_mae,train_r2,test_r2,cv_rmse_mean,cv_rmse_std
Linear Regression,38.83226447706499,31.826981579319547,26.08453178143697,21.334771884844958,0.9952217667822851,0.9967874646492404,39.96031900910457,24.27715514962989
Ridge Regression,38.930672112683474,32.01247364260807,26.25777811680407,21.548523704556548,0.9951975183671027,0.9967499093251525,40.05485675953604,24.167653969225515
Lasso Regression,39.56632978623917,32.24504020821808,26.575888869893934,21.737986660398768,0.9950394087550095,0.996702514796568,40.64141133062613,24.65386376805086
Elastic Net,50.383713967237526,39.42603495643618,30.299351738709134,24.507529651537354,0.9919561814578048,0.9950702690767448,52.51846658255721,30.158831471278862
Random Forest,26.82356254614454,92.42115061607437,20.156483184723953,41.03852068085846,0.9977201051114586,0.9729105771760678,61.93773032212403,55.575279665140236
Gradient Boosting,27.98938935958093,89.45023964734794,20.92411510576389,39.48007852413625,0.9975176171816317,0.9746241834109762,60.39034406798408,55.895537968244746
